"municipality_id","estrana","votes","pct_votes","okres"
"500119",25,312,0.84,"CZ0100"
"500119",26,7835,21.03,"CZ0100"
"500119",27,6966,18.7,"CZ0100"
"500119",28,2104,5.65,"CZ0100"
"500119",29,15,0.04,"CZ0100"
"500119",30,5247,14.08,"CZ0100"
"500119",31,34,0.09,"CZ0100"
"500119",32,11,0.03,"CZ0100"
"500119",33,10,0.03,"CZ0100"
"500119",34,197,0.53,"CZ0100"
"500119",35,53,0.14,"CZ0100"
"500119",36,77,0.21,"CZ0100"
"500119",37,370,0.99,"CZ0100"
"500119",38,2,0.01,"CZ0100"
"500119",39,1744,4.68,"CZ0100"
"500119",40,152,0.41,"CZ0100"
"500143",1,21,0.09,"CZ0100"
"500143",2,53,0.23,"CZ0100"
"500143",3,60,0.26,"CZ0100"
"500143",4,12,0.05,"CZ0100"
"500143",5,4403,19.26,"CZ0100"
"500143",6,146,0.64,"CZ0100"
"500143",7,606,2.65,"CZ0100"
"500143",8,14,0.06,"CZ0100"
"500143",9,645,2.82,"CZ0100"
"500143",10,26,0.11,"CZ0100"
"500143",11,7,0.03,"CZ0100"
"500143",12,93,0.41,"CZ0100"
"500143",13,28,0.12,"CZ0100"
"500143",14,14,0.06,"CZ0100"
"500143",15,17,0.07,"CZ0100"
"500143",16,123,0.54,"CZ0100"
"500143",17,5,0.02,"CZ0100"
"500143",18,1,0,"CZ0100"
"500143",19,35,0.15,"CZ0100"
"500143",21,8,0.03,"CZ0100"
"500143",22,19,0.08,"CZ0100"
"500143",23,12,0.05,"CZ0100"
"500143",24,912,3.99,"CZ0100"
"500143",25,231,1.01,"CZ0100"
"500143",26,5429,23.75,"CZ0100"
"500143",27,4440,19.42,"CZ0100"
"500143",28,1223,5.35,"CZ0100"
"500143",29,6,0.03,"CZ0100"
"500143",30,2565,11.22,"CZ0100"
"500143",31,14,0.06,"CZ0100"
"500143",32,4,0.02,"CZ0100"
"500143",33,10,0.04,"CZ0100"
"500143",34,105,0.46,"CZ0100"
"500143",35,17,0.07,"CZ0100"
"500143",36,37,0.16,"CZ0100"
"500143",37,275,1.2,"CZ0100"
"500143",38,2,0.01,"CZ0100"
"500143",39,1165,5.1,"CZ0100"
"500143",40,80,0.35,"CZ0100"
"500178",1,41,0.12,"CZ0100"
"500178",2,111,0.32,"CZ0100"
"500178",3,79,0.23,"CZ0100"
"500178",4,22,0.06,"CZ0100"
"500178",5,6155,18.02,"CZ0100"
"500178",6,225,0.66,"CZ0100"
"500178",7,974,2.85,"CZ0100"
"500178",8,21,0.06,"CZ0100"
"500178",9,1238,3.62,"CZ0100"
"500178",10,24,0.07,"CZ0100"
"500178",11,15,0.04,"CZ0100"
"500178",12,113,0.33,"CZ0100"
"500178",13,49,0.14,"CZ0100"
"500178",14,17,0.05,"CZ0100"
"500178",15,13,0.04,"CZ0100"
"500178",16,208,0.61,"CZ0100"
"500178",17,15,0.04,"CZ0100"
"500178",18,4,0.01,"CZ0100"
"500178",19,48,0.14,"CZ0100"
"500178",21,11,0.03,"CZ0100"
"500178",22,33,0.1,"CZ0100"
"500178",23,17,0.05,"CZ0100"
"500178",24,1335,3.91,"CZ0100"
"500178",25,237,0.69,"CZ0100"
"500178",26,8617,25.23,"CZ0100"
"500178",27,6648,19.46,"CZ0100"
"500178",28,1581,4.63,"CZ0100"
"500178",29,12,0.04,"CZ0100"
"500178",30,3667,10.74,"CZ0100"
"500178",31,15,0.04,"CZ0100"
"500178",32,10,0.03,"CZ0100"
"500178",33,6,0.02,"CZ0100"
"500178",34,140,0.41,"CZ0100"
"500178",35,26,0.08,"CZ0100"
"500178",36,36,0.11,"CZ0100"
"500178",37,382,1.12,"CZ0100"
"500178",38,4,0.01,"CZ0100"
"500178",39,1859,5.44,"CZ0100"
"500178",40,146,0.43,"CZ0100"
"500186",1,7,0.06,"CZ0100"
"500186",2,39,0.32,"CZ0100"
"500186",3,36,0.29,"CZ0100"
"500186",4,7,0.06,"CZ0100"
"500186",5,2224,18.04,"CZ0100"
"500186",6,84,0.68,"CZ0100"
"500186",7,337,2.73,"CZ0100"
"500186",8,8,0.06,"CZ0100"
"500186",9,300,2.43,"CZ0100"
